Day,Start,End,Subject,Room
10/09/2024,09:00,10:00,AL.T.2, A-2-02
10/09/2024,09:00,11:00,FI.L.3, L-15
10/09/2024,09:00,11:00,FI.L.I-2, L-13
10/09/2024,09:00,11:00,DS.T.I-1, A-S-01
10/09/2024,09:00,11:00,DS.L.1, L-02
10/09/2024,09:00,11:00,IPS.L.3, L-04
10/09/2024,09:00,11:00,SEW.L.7, L-32
10/09/2024,09:00,11:00,IP.L.1, L-05
10/09/2024,09:00,11:00,IP.L.I-1, L-03
10/09/2024,09:00,10:00,CDI.CE1,B02
10/09/2024,09:00,10:00,CDI.CE3,B03
10/09/2024,09:00,10:00,ALG.CE2,S03
10/09/2024,09:00,10:00,EDI.CE1,Geol.B
10/09/2024,10:00,11:00,Emp.T.2, A-2-02
10/09/2024,10:00,11:00,RNEDO.CE1,Geol.B
10/09/2024,10:00,11:00,CDI.CE2,S02
10/09/2024,10:00,11:00,CDI.CE4,S03
10/09/2024,10:00,11:00,ALG.CE1,B03
10/09/2024,10:18,13:00,SEV.L.2, L-14
10/09/2024,11:00,12:00,AL.T.1, A-2-01
10/09/2024,11:00,12:00,AL.T.I-1, A-2-01
10/09/2024,11:00,12:00,FI.T.2, A-2-02
10/09/2024,11:00,13:00,DS.T.1, A-S-01
10/09/2024,11:00,13:00,DS.L.2, L-02
10/09/2024,11:00,13:00,IPS.L.I-1, L-04
10/09/2024,11:00,13:00,SEW.L.8, L-32
10/09/2024,11:00,12:00,OyE.T.1, A-B-01
10/09/2024,11:00,12:00,AMatIII.CE2,Geol.B
10/09/2024,11:00,12:00,VC.CE1,B04
10/09/2024,12:00,13:00,Emp.T.1, A-2-01
10/09/2024,12:00,13:00,FI.T.I-1, A-S-02
10/09/2024,12:00,14:00,FI.L.4, L-15
10/09/2024,12:00,14:00,IP.L.2, L-05
10/09/2024,12:00,13:00,AMatIII.CE1,B04
10/09/2024,12:00,13:00,VC.CE2,Geol.B
10/09/2024,13:00,14:00,Emp.T.I-1, A-S-02
10/09/2024,13:00,14:00,FI.T.1, A-2-01
10/09/2024,13:00,15:00,IPS.L.4, L-04
10/09/2024,13:00,15:00,SEW.L.2, L-32
10/09/2024,13:00,14:18,SEV.T.1, A-2-02
10/09/2024,13:00,14:00,AII.CE1,B04
10/09/2024,13:00,14:00,IE.CE2,Geol.B
10/09/2024,14:00,15:00,AC.TG.3, L-01
10/09/2024,14:18,16:00,SR.T.1, A-S-01
10/09/2024,15:00,17:00,CPM.L.7, L-03
10/09/2024,15:00,17:00,ED.T.2, A-2-02
10/09/2024,15:00,17:00,TEC.L.1, L-16
10/09/2024,15:00,17:00,AC.T.I-1, A-S-02
10/09/2024,15:00,17:00,AC.L.3, L-01
10/09/2024,15:00,16:00,AMatI.CE2,S01
10/09/2024,15:00,16:00,MDFEDP.CE2,S03
10/09/2024,15:00,16:00,TopI.CE1,B04
10/09/2024,15:18,18:00,SEV.L.3, L-14
10/09/2024,16:00,18:00,IR.T.2, A-S-01
10/09/2024,16:00,18:00,SI.L.1, L-S-01
10/09/2024,16:00,17:00,AF.CE1,S03
10/09/2024,16:00,17:00,AMatI.CE1,B04
10/09/2024,16:00,17:00,PyE.CE2,Geol.B
10/09/2024,17:00,18:00,Com.T.1, A-2-01
10/09/2024,17:00,18:00,Com.T.I-1, A-S-02
10/09/2024,17:00,18:00,CPM.T.2, A-2-02
