Day,Start,End,Subject,Room
 01/04/2025,09:00,11:00,FCR.L.3, L-02
 01/04/2025,12:00,13:00,FCR.T.1, A-2-01
 02/05/2025,17:00,18:00,BD.S.3, A-S-02
 03/02/2025,18:00,20:00,BD.T.1, A-2-01
 03/03/2025,18:00,20:00,BD.T.1, A-2-01
 03/04/2025,18:00,20:00,BD.L.2, L-13
 04/02/2025,09:00,11:00,FCR.L.3, L-02
 04/02/2025,12:00,13:00,FCR.T.1, A-2-01
 04/03/2025,09:00,11:00,FCR.L.3, L-02
 04/03/2025,12:00,13:00,FCR.T.1, A-2-01
 06/02/2025,11:00,12:00,FCR.T.1, A-2-01
 06/02/2025,18:00,20:00,BD.L.2, L-13
 06/03/2025,11:00,12:00,FCR.T.1, A-2-01
 06/03/2025,18:00,20:00,BD.L.2, L-13
 07/04/2025,12:00,13:00,FCR.S.3, A-S-03
 07/04/2025,18:00,19:00,BD.T.1, A-2-01
 08/04/2025,09:00,11:00,FCR.L.3, L-02
 10/02/2025,12:00,13:00,FCR.S.3, A-S-03
 10/02/2025,18:00,20:00,BD.T.1, A-2-01
 10/03/2025,12:00,13:00,FCR.S.3, A-S-03
 10/03/2025,18:00,20:00,BD.T.1, A-2-01
 10/04/2025,18:00,20:00,BD.L.2, L-13
 10/04/2025,20:00,21:00,BD.TG.2, L-13
 11/02/2025,09:00,11:00,FCR.L.3, L-02
 11/02/2025,12:00,13:00,FCR.T.1, A-2-01
 11/02/2025,14:00,15:00,FCR.TG.3, L-02
 11/03/2025,09:00,11:00,FCR.L.3, L-02
 11/03/2025,12:00,13:00,FCR.T.1, A-2-01
 11/04/2025,17:00,18:00,BD.S.3, A-S-02
 13/02/2025,11:00,12:00,FCR.T.1, A-2-01
 13/02/2025,18:00,20:00,BD.L.2, L-13
 13/03/2025,11:00,12:00,FCR.T.1, A-2-01
 13/03/2025,18:00,20:00,BD.L.2, L-13
 13/03/2025,20:00,21:00,BD.TG.2, L-13
 14/02/2025,17:00,18:00,BD.S.3, A-S-02
 14/03/2025,17:00,18:00,BD.S.3, A-S-02
 17/02/2025,18:00,20:00,BD.T.1, A-2-01
 17/03/2025,18:00,20:00,BD.T.1, A-2-01
 18/02/2025,09:00,11:00,FCR.L.3, L-02
 18/02/2025,12:00,13:00,FCR.T.1, A-2-01
 18/03/2025,09:00,11:00,FCR.L.3, L-02
 18/03/2025,12:00,13:00,FCR.T.1, A-2-01
 18/03/2025,14:00,15:00,FCR.TG.3, L-02
 20/01/2025,12:00,13:00,FCR.S.3, A-S-03
 20/01/2025,18:00,20:00,BD.T.1, A-2-01
 20/02/2025,11:00,12:00,FCR.T.1, A-2-01
 20/02/2025,18:00,20:00,BD.L.2, L-13
 20/03/2025,11:00,12:00,FCR.T.1, A-2-01
 20/03/2025,18:00,20:00,BD.L.2, L-13
 21/01/2025,09:00,11:00,FCR.L.3, L-02
 21/01/2025,12:00,13:00,FCR.T.1, A-2-01
 22/04/2025,09:00,11:00,FCR.L.3, L-02
 23/01/2025,11:00,12:00,FCR.T.1, A-2-01
 23/01/2025,18:00,20:00,BD.L.2, L-13
 24/02/2025,12:00,13:00,FCR.S.3, A-S-03
 24/02/2025,18:00,20:00,BD.T.1, A-2-01
 24/03/2025,12:00,13:00,FCR.S.3, A-S-03
 24/03/2025,18:00,20:00,BD.T.1, A-2-01
 24/04/2025,18:00,20:00,BD.L.2, L-13
 25/02/2025,09:00,11:00,FCR.L.3, L-02
 25/02/2025,12:00,13:00,FCR.T.1, A-2-01
 25/03/2025,09:00,11:00,FCR.L.3, L-02
 25/03/2025,12:00,13:00,FCR.T.1, A-2-01
 27/02/2025,11:00,12:00,FCR.T.1, A-2-01
 27/02/2025,18:00,20:00,BD.L.2, L-13
 27/03/2025,11:00,12:00,FCR.T.1, A-2-01
 27/03/2025,18:00,20:00,BD.L.2, L-13
 28/01/2025,09:00,11:00,FCR.L.3, L-02
 28/01/2025,12:00,13:00,FCR.T.1, A-2-01
 28/02/2025,17:00,18:00,BD.S.3, A-S-02
 28/03/2025,17:00,18:00,BD.S.3, A-S-02
 28/04/2025,12:00,13:00,FCR.S.3, A-S-03
 29/04/2025,09:00,11:00,FCR.L.3, L-02
 30/01/2025,11:00,12:00,FCR.T.1, A-2-01
 30/01/2025,18:00,20:00,BD.L.2, L-13
 31/01/2025,17:00,18:00,BD.S.3, A-S-02
 31/03/2025,18:00,20:00,BD.T.1, A-2-01
01/04/2025,13:00,14:00,MNumer-CE1,S01
01/04/2025,15:00,16:00,AMatII-CE1,B04
01/04/2025,16:00,17:00,GCS-CE1,B04
01/10/2024,15:00,16:00,TopI-CE1,B04
01/10/2024,16:00,17:00,AMatI-CE1,B04
02/04/2025,12:00,13:00,MNumer-PA1,S01
02/04/2025,15:00,16:00,PyE-CE1,B04
02/04/2025,16:00,17:00,GCS-CE1,B04
02/04/2025,17:00,18:00,AMatII-TG1,B01
02/05/2025,14:00,15:00,GCS-TG1,B04
02/05/2025,15:00,16:00,AMatII-PA1,B04
02/10/2024,14:00,15:00,TopI-CE1,B04
02/10/2024,15:00,16:00,AMatI-CE1,B04
02/10/2024,16:00,17:00,AMatI-CE1,B04
02/12/2024,14:00,15:00,AMatI-TG1,S03
02/12/2024,15:00,16:00,AMatI-CE1,B04
02/12/2024,16:00,17:00,PyE-CE1,B04
03/02/2025,13:00,14:00,MNumer-CE1,S01
03/02/2025,15:00,16:00,AMatII-CE1,B04
03/02/2025,16:00,17:00,GCS-CE1,B04
03/03/2025,12:00,13:00,MNumer-TG1,B05
03/03/2025,13:00,14:00,MNumer-CE1,S01
03/03/2025,15:00,16:00,AMatII-CE1,B04
03/03/2025,16:00,17:00,GCS-CE1,B04
03/04/2025,12:30,14:00,MNumer-PL1,B00
03/04/2025,15:00,16:00,AMatII-CE1,B04
03/04/2025,16:00,17:00,PyE-CE1,B04
03/04/2025,17:00,18:00,GCS-PA1,B04
03/10/2024,14:00,15:00,TopI-CE1,B04
03/10/2024,15:00,16:00,PyE-PA1,B04
03/10/2024,16:00,17:00,AMatI-PA1,B04
03/12/2024,14:00,15:00,PyE-PL1,B08
03/12/2024,15:00,16:00,TopI-CE1,B04
